data
['Número do Matrícula em distorção no ensino fundamental  em 2007 no município Ceará ', 'Número do Matrícula em distorção no ensino fundamental no município Ceará 345205.0 ']
['Número do Matrícula em distorção no ensino médio  em 2007 no município Ceará ', 'Número do Matrícula em distorção no ensino médio no município Ceará 345205.0 ']
['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade Abaiara ', 'O nível do Matrícula em distorção no ensino fundamental na cidade Abaiara é: 243.0 ']
['Quais os números Matrícula em distorção no ensino médio no município Abaiara em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: no município Abaiara 243.0']
['Qual o Matrícula em distorção no ensino fundamental no município Acarape em 2007 ', 'O Matrícula em distorção no ensino fundamental no município Acarape é 608.0 ']
['Número do Matrícula em distorção no ensino médio  em 2007 no município Acarape ', 'Número do Matrícula em distorção no ensino médio no município Acarape 608.0 ']
['Número do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Acaraú ', 'Número do Matrícula em distorção no ensino fundamental na unidade geográfica Acaraú 2439.0 ']
['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Acaraú ', 'O valor do Matrícula em distorção no ensino médio: na cidade Acaraú 2439.0 ']
['Quantidade no Matrícula em distorção no ensino fundamental na cidade Acopiara em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Acopiara 2111.0 ']
['Quais os números Matrícula em distorção no ensino médio na cidade Acopiara em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Acopiara 2111.0']
['Número do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Aiuaba ', 'Número do Matrícula em distorção no ensino fundamental na unidade geográfica Aiuaba 957.0 ']
['Qual do valor do Matrícula em distorção no ensino médio  em 2007 no município Aiuaba ', 'O valor do Matrícula em distorção no ensino médio: no município Aiuaba 957.0 ']
['Quantidade no Matrícula em distorção no ensino fundamental na cidade Alcântaras em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Alcântaras 775.0 ']
